[ 2019-07-03 04:21:10,596 ]  INFO  main.py      :: Clossing the file
[ 2019-07-03 04:21:10,609 ]  INFO  _internal.py      ::  * Running on http://0.0.0.0:8888/ (Press CTRL+C to quit)
[ 2019-07-03 04:21:10,610 ]  INFO  _internal.py      ::  * Restarting with stat
[ 2019-07-03 04:21:10,899 ]  INFO  main.py      :: storing created Entity from file
[ 2019-07-03 04:21:10,899 ]  INFO  main.py      :: Clossing the file
[ 2019-07-03 04:21:10,910 ]  WARNING  _internal.py      ::  * Debugger is active!
[ 2019-07-03 04:21:10,911 ]  INFO  _internal.py      ::  * Debugger PIN: 177-254-971
[ 2019-07-03 04:26:05,074 ]  INFO   main.py        storing created Entity from file
[ 2019-07-03 04:26:05,075 ]  INFO   main.py        Clossing the file
[ 2019-07-03 04:26:05,087 ]  INFO   _internal.py         * Running on http://0.0.0.0:8888/ (Press CTRL+C to quit)
[ 2019-07-03 04:26:05,088 ]  INFO   _internal.py         * Restarting with stat
[ 2019-07-03 04:26:05,371 ]  INFO   main.py        storing created Entity from file
[ 2019-07-03 04:26:05,372 ]  INFO   main.py        Clossing the file
[ 2019-07-03 04:26:05,382 ]  WARNING   _internal.py         * Debugger is active!
[ 2019-07-03 04:26:05,383 ]  INFO   _internal.py         * Debugger PIN: 177-254-971
